type,status,departure,arrival,airline,flight,codeshared
departure,active,"{'iataCode': 'sfo', 'icaoCode': 'ksfo', 'terminal': 'intl', 'delay': 41, 'scheduledTime': '2022-12-24t19:55:00.000', 'estimatedTime': '2022-12-24t20:39:00.000', 'actualTime': '2022-12-24t20:36:00.000', 'estimatedRunway': '2022-12-24t20:36:00.000', 'actualRunway': '2022-12-24t20:36:00.000'}","{'iataCode': 'akl', 'icaoCode': 'nzaa', 'terminal': 'i', 'baggage': 'itb4', 'gate': '6', 'scheduledTime': '2022-12-26t06:00:00.000', 'estimatedTime': '2022-12-26t05:53:00.000'}","{'name': 'lufthansa', 'iataCode': 'lh', 'icaoCode': 'dlh'}","{'number': '7156', 'iataNumber': 'lh7156', 'icaoNumber': 'dlh7156'}","{'airline': {'name': 'air new zealand', 'iataCode': 'nz', 'icaoCode': 'anz'}, 'flight': {'number': '7', 'iataNumber': 'nz7', 'icaoNumber': 'anz7'}}"
departure,active,"{'iataCode': 'sfo', 'icaoCode': 'ksfo', 'terminal': 'intl', 'delay': 41, 'scheduledTime': '2022-12-24t19:55:00.000', 'estimatedTime': '2022-12-24t20:39:00.000', 'actualTime': '2022-12-24t20:36:00.000', 'estimatedRunway': '2022-12-24t20:36:00.000', 'actualRunway': '2022-12-24t20:36:00.000'}","{'iataCode': 'akl', 'icaoCode': 'nzaa', 'terminal': 'i', 'baggage': 'itb4', 'gate': '6', 'scheduledTime': '2022-12-26t06:00:00.000', 'estimatedTime': '2022-12-26t05:53:00.000'}","{'name': 'virgin atlantic', 'iataCode': 'vs', 'icaoCode': 'vir'}","{'number': '7651', 'iataNumber': 'vs7651', 'icaoNumber': 'vir7651'}","{'airline': {'name': 'air new zealand', 'iataCode': 'nz', 'icaoCode': 'anz'}, 'flight': {'number': '7', 'iataNumber': 'nz7', 'icaoNumber': 'anz7'}}"
departure,active,"{'iataCode': 'sfo', 'icaoCode': 'ksfo', 'terminal': 'intl', 'delay': 41, 'scheduledTime': '2022-12-24t19:55:00.000', 'estimatedTime': '2022-12-24t20:39:00.000', 'actualTime': '2022-12-24t20:36:00.000', 'estimatedRunway': '2022-12-24t20:36:00.000', 'actualRunway': '2022-12-24t20:36:00.000'}","{'iataCode': 'akl', 'icaoCode': 'nzaa', 'terminal': 'i', 'baggage': 'itb4', 'gate': '6', 'scheduledTime': '2022-12-26t06:00:00.000', 'estimatedTime': '2022-12-26t05:53:00.000'}","{'name': 'air new zealand', 'iataCode': 'nz', 'icaoCode': 'anz'}","{'number': '7', 'iataNumber': 'nz7', 'icaoNumber': 'anz7'}",
departure,active,"{'iataCode': 'sfo', 'icaoCode': 'ksfo', 'terminal': '2', 'gate': 'd16', 'delay': 30, 'scheduledTime': '2022-12-24t20:00:00.000', 'estimatedTime': '2022-12-24t20:30:00.000'}","{'iataCode': 'pdx', 'icaoCode': 'kpdx', 'gate': 'b3', 'scheduledTime': '2022-12-24t21:52:00.000'}","{'name': 'qatar airways', 'iataCode': 'qr', 'icaoCode': 'qtr'}","{'number': '2050', 'iataNumber': 'qr2050', 'icaoNumber': 'qtr2050'}","{'airline': {'name': 'alaska airlines', 'iataCode': 'as', 'icaoCode': 'asa'}, 'flight': {'number': '3428', 'iataNumber': 'as3428', 'icaoNumber': 'asa3428'}}"
departure,active,"{'iataCode': 'sfo', 'icaoCode': 'ksfo', 'terminal': '2', 'gate': 'd16', 'delay': 30, 'scheduledTime': '2022-12-24t20:00:00.000', 'estimatedTime': '2022-12-24t20:30:00.000'}","{'iataCode': 'pdx', 'icaoCode': 'kpdx', 'gate': 'b3', 'scheduledTime': '2022-12-24t21:52:00.000'}","{'name': 'alaska airlines', 'iataCode': 'as', 'icaoCode': 'asa'}","{'number': '3428', 'iataNumber': 'as3428', 'icaoNumber': 'asa3428'}",
departure,active,"{'iataCode': 'sfo', 'icaoCode': 'ksfo', 'terminal': '3', 'gate': 'f2', 'delay': 19, 'scheduledTime': '2022-12-24t20:24:00.000', 'estimatedTime': '2022-12-24t20:42:00.000', 'actualTime': '2022-12-24t20:42:00.000', 'estimatedRunway': '2022-12-24t20:42:00.000', 'actualRunway': '2022-12-24t20:42:00.000'}","{'iataCode': 'den', 'icaoCode': 'kden', 'baggage': '12', 'gate': 'b27', 'scheduledTime': '2022-12-24t23:58:00.000', 'estimatedTime': '2022-12-24t23:43:00.000'}","{'name': 'air canada', 'iataCode': 'ac', 'icaoCode': 'aca'}","{'number': '5790', 'iataNumber': 'ac5790', 'icaoNumber': 'aca5790'}","{'airline': {'name': 'united airlines', 'iataCode': 'ua', 'icaoCode': 'ual'}, 'flight': {'number': '733', 'iataNumber': 'ua733', 'icaoNumber': 'ual733'}}"
departure,active,"{'iataCode': 'sfo', 'icaoCode': 'ksfo', 'terminal': '3', 'gate': 'f2', 'delay': 19, 'scheduledTime': '2022-12-24t20:24:00.000', 'estimatedTime': '2022-12-24t20:42:00.000', 'actualTime': '2022-12-24t20:42:00.000', 'estimatedRunway': '2022-12-24t20:42:00.000', 'actualRunway': '2022-12-24t20:42:00.000'}","{'iataCode': 'den', 'icaoCode': 'kden', 'baggage': '12', 'gate': 'b27', 'scheduledTime': '2022-12-24t23:58:00.000', 'estimatedTime': '2022-12-24t23:43:00.000'}","{'name': 'air new zealand', 'iataCode': 'nz', 'icaoCode': 'anz'}","{'number': '9055', 'iataNumber': 'nz9055', 'icaoNumber': 'anz9055'}","{'airline': {'name': 'united airlines', 'iataCode': 'ua', 'icaoCode': 'ual'}, 'flight': {'number': '733', 'iataNumber': 'ua733', 'icaoNumber': 'ual733'}}"
departure,active,"{'iataCode': 'sfo', 'icaoCode': 'ksfo', 'terminal': '3', 'gate': 'f2', 'delay': 19, 'scheduledTime': '2022-12-24t20:24:00.000', 'estimatedTime': '2022-12-24t20:42:00.000', 'actualTime': '2022-12-24t20:42:00.000', 'estimatedRunway': '2022-12-24t20:42:00.000', 'actualRunway': '2022-12-24t20:42:00.000'}","{'iataCode': 'den', 'icaoCode': 'kden', 'baggage': '12', 'gate': 'b27', 'scheduledTime': '2022-12-24t23:58:00.000', 'estimatedTime': '2022-12-24t23:43:00.000'}","{'name': 'virgin australia', 'iataCode': 'va', 'icaoCode': 'voz'}","{'number': '8344', 'iataNumber': 'va8344', 'icaoNumber': 'voz8344'}","{'airline': {'name': 'united airlines', 'iataCode': 'ua', 'icaoCode': 'ual'}, 'flight': {'number': '733', 'iataNumber': 'ua733', 'icaoNumber': 'ual733'}}"
departure,active,"{'iataCode': 'sfo', 'icaoCode': 'ksfo', 'terminal': '3', 'gate': 'f2', 'delay': 19, 'scheduledTime': '2022-12-24t20:24:00.000', 'estimatedTime': '2022-12-24t20:42:00.000', 'actualTime': '2022-12-24t20:42:00.000', 'estimatedRunway': '2022-12-24t20:42:00.000', 'actualRunway': '2022-12-24t20:42:00.000'}","{'iataCode': 'den', 'icaoCode': 'kden', 'baggage': '12', 'gate': 'b27', 'scheduledTime': '2022-12-24t23:58:00.000', 'estimatedTime': '2022-12-24t23:43:00.000'}","{'name': 'united airlines', 'iataCode': 'ua', 'icaoCode': 'ual'}","{'number': '733', 'iataNumber': 'ua733', 'icaoNumber': 'ual733'}",
departure,active,"{'iataCode': 'sfo', 'icaoCode': 'ksfo', 'terminal': 'intl', 'gate': 'g9', 'delay': 38, 'scheduledTime': '2022-12-24t20:35:00.000', 'estimatedTime': '2022-12-24t20:35:00.000', 'actualTime': '2022-12-24t21:13:00.000', 'estimatedRunway': '2022-12-24t21:13:00.000', 'actualRunway': '2022-12-24t21:13:00.000'}","{'iataCode': 'muc', 'icaoCode': 'eddm', 'terminal': '2', 'gate': 'h28', 'delay': 3, 'scheduledTime': '2022-12-25t16:40:00.000', 'estimatedTime': '2022-12-25t16:42:00.000'}","{'name': 'united airlines', 'iataCode': 'ua', 'icaoCode': 'ual'}","{'number': '8882', 'iataNumber': 'ua8882', 'icaoNumber': 'ual8882'}","{'airline': {'name': 'lufthansa', 'iataCode': 'lh', 'icaoCode': 'dlh'}, 'flight': {'number': '459', 'iataNumber': 'lh459', 'icaoNumber': 'dlh459'}}"
