,Airline,Arrival airport,Codesharing,Scheduled departure,delay,iataNumber,status
10766,ati,afw,True,2023-09-09t04:31:00.000,0.0,8c3348,active
10767,flexjet,smo,True,2023-09-09t09:00:00.000,44.0,lxj359,active
10768,cb skyshare,mry,True,2023-09-09t12:30:00.000,36.0,,active
10769,flyexclusive,bfi,True,2023-09-09t12:30:00.000,33.0,,active
10770,netjets aviation,sjc,True,2023-09-09t12:51:00.000,0.0,1i205,active
10771,netjets aviation,prb,True,2023-09-09t14:00:00.000,0.0,1i921,active
10772,ati,sbd,True,2023-09-09t07:00:00.000,26.0,8c6706,active
10773,flexjet,ase,True,2023-09-09t11:15:00.000,10.0,lxj422,active
10774,verijet,vny,True,2023-09-09t09:55:00.000,22.0,,active
10775,empty,pga,True,2023-09-09t11:15:00.000,10.0,,active
10776,air canada,yeg,True,2023-09-09t15:05:00.000,8.0,ac558,active
10778,united airlines,jac,True,2023-09-09t17:00:00.000,47.0,ua372,active
10782,united airlines,koa,True,2023-09-09t17:00:00.000,83.0,ua1723,active
10789,virgin atlantic,lhr,True,2023-09-09t17:01:00.000,20.0,vs20,active
10795,air canada,yvr,True,2023-09-09t17:05:00.000,26.0,ac569,active
10796,emirates,dxb,True,2023-09-09t17:05:00.000,31.0,ek226,active
10798,condor,fra,True,2023-09-09t17:10:00.000,31.0,de2097,active
10807,alaska airlines,sea,True,2023-09-09t17:15:00.000,14.0,as1253,active
10809,aer lingus,dub,True,2023-09-09t17:45:00.000,10.0,ei60,active
10813,united airlines,ord,True,2023-09-09t17:49:00.000,8.0,ua1114,active
10819,iberia,mad,True,2023-09-09t17:50:00.000,0.0,ib6174,active
10820,southwest airlines,den,True,2023-09-09t18:00:00.000,2.0,wn3164,active
10821,southwest airlines,lax,True,2023-09-09t18:05:00.000,4.0,wn1813,active
10827,american airlines,lax,True,2023-09-09t18:09:00.000,5.0,aa4884,active
10829,american airlines,phx,True,2023-09-09t18:22:00.000,3.0,aa1195,active
10835,united airlines,dfw,True,2023-09-09t18:25:00.000,9.0,ua1765,active
10837,united airlines,ase,True,2023-09-09t18:25:00.000,4.0,ua5232,active
10838,united airlines,psc,True,2023-09-09t18:25:00.000,11.0,ua5457,active
10841,skywest airlines,boi,True,2023-09-09t18:25:00.000,13.0,oo5644,active
10846,united airlines,pdx,True,2023-09-09t18:27:00.000,19.0,ua477,active
10851,united airlines,aus,True,2023-09-09t18:27:00.000,9.0,ua2070,active
10855,united airlines,yvr,True,2023-09-09t18:29:00.000,159.0,ua460,active
10859,alaska airlines,sna,True,2023-09-09t18:30:00.000,10.0,as3452,active
10861,turkish airlines,ist,True,2023-09-09t18:30:00.000,31.0,tk80,active
10868,united airlines,lax,True,2023-09-09t18:30:00.000,16.0,ua1200,active
10873,united airlines,tus,True,2023-09-09t18:30:00.000,15.0,ua5229,active
10877,united airlines,mci,True,2023-09-09t18:32:00.000,25.0,ua2061,active
10884,alaska airlines,sea,True,2023-09-09t18:35:00.000,34.0,as1099,active
10888,delta air lines,lax,True,2023-09-09t18:40:00.000,4.0,dl789,active
10895,united airlines,rno,True,2023-09-09t18:43:00.000,8.0,ua5470,active
10898,united airlines,oma,True,2023-09-09t18:44:00.000,19.0,ua1620,active
10902,alaska airlines,san,True,2023-09-09t18:45:00.000,47.0,as3425,active
10906,united airlines,sat,True,2023-09-09t18:50:00.000,53.0,ua2611,active
10910,united airlines,ogg,True,2023-09-09t18:55:00.000,10.0,ua539,active
10913,united airlines,acv,True,2023-09-09t19:00:00.000,69.0,ua4695,active
10920,united airlines,sea,True,2023-09-09t19:02:00.000,8.0,ua2385,active
10927,united airlines,san,True,2023-09-09t19:05:00.000,9.0,ua2178,active
10928,united airlines,rdd,True,2023-09-09t19:05:00.000,1.0,ua5222,active
10933,united airlines,den,True,2023-09-09t19:10:00.000,12.0,ua2050,active
